name,err_msg,iterations,warmup_iterations,gpu_computation,gpu_blocks,threads_per_block,data_size_B,block_size_B,EC,lost_blocks,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(96/64)",1,13694.9,370.666,306.462,7.2237,401.244,140.064,11847.5,4019.48
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(96/64)",2,13746,301.725,305.255,5.81271,578.552,212.095,8575.09,3940.96
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(96/64)",4,13741.1,296.523,305.363,5.79216,1289.49,307.718,3438.43,834.488
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(96/64)",8,13739,338.342,305.446,6.52884,2120.61,472.996,2092.07,548.57
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(96/64)",16,13738.7,311.782,305.432,6.16913,3828.84,627.911,1126.53,193.695
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(96/64)",32,13675.2,363.958,306.897,7.07195,8268.17,785.037,511.873,48.8576
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(144/128)",0,13710.9,590.869,306.267,8.45848,396.392,19.2908,10597.7,356.783
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(144/128)",1,13664.2,254.839,307.049,4.96789,1031.45,153.202,4216.31,1203.28
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(144/128)",2,13655.5,262.911,307.251,5.11182,1537.17,349.937,2895.48,752.909
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(144/128)",4,13659.5,264.616,307.16,5.07759,2942.75,351.897,1446.65,181.971
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(144/128)",8,13657.6,226.906,307.178,4.46256,5389.12,536.925,786.892,87.6353
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(144/128)",16,13646.1,249.881,307.453,4.91519,10342.4,1001.5,409.542,41.765
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(160/128)",0,13409.1,323.04,312.952,6.48383,412.472,19.8285,10189.2,429.718
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(160/128)",1,13436.3,265.755,312.269,5.40115,619.902,159.649,7337.33,2227.66
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(160/128)",2,13447,341.923,312.084,6.7545,993.986,211.186,4386.64,876.29
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(160/128)",4,13454.7,569.943,312.094,8.68963,1623.25,289.407,2675.18,530.075
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(160/128)",8,13434.2,247.413,312.303,5.03429,2698.63,431.561,1597.16,273.86
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(160/128)",16,13435.3,264.894,312.291,5.36093,5269.78,856.763,823.021,171.772
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(160/128)",32,13355.4,191.43,314.109,3.93496,10150.3,944.092,416.706,37.756
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",0,13728.4,282.995,305.635,5.56419,501.098,54.5667,8461.34,844.479
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",1,13756.8,301.398,305.018,5.83478,558.782,92.056,7722.96,1329.3
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",2,13767.4,321.947,304.8,6.19222,720.334,169.294,6042.64,1146.04
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",4,13787.2,338.746,304.377,6.53042,951.444,213.86,4699.51,1386.24
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",8,13762.6,324.483,304.909,6.31043,1588.47,243.947,2703.3,414.297
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",16,13776.7,319.447,304.591,6.16311,2611.04,366.743,1638.9,234.703
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",32,13719.2,267.643,305.829,5.35035,5088.45,635.523,836.421,99.3122
"Xorec, AVX2",,500,500,0,0,0,524288,4096,"(192/128)",64,13744,357.11,305.35,6.85804,9169.59,832.294,461.246,42.7009
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(36/32)",0,38452.4,764.103,218.236,4.05824,158.928,11.2952,53020.4,3385.6
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(36/32)",1,38446.2,9077.12,220.217,9.24038,7822.15,1415.83,3007.53,11596.3
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(36/32)",2,37415,975.728,224.351,5.6211,13856.6,4101.47,2597.7,11209.1
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(36/32)",4,36228.7,900.395,231.682,5.48542,30210.7,6349.14,293.551,78.5594
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(40/32)",0,46289.5,1513.39,181.358,4.32198,187.964,8.48827,44716.9,1959.92
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(40/32)",1,43939,926.406,190.996,3.85257,3529.97,2017.4,18925.4,29785
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(40/32)",2,43559.8,1135.14,192.696,4.59499,7326.34,2462.43,4737.43,15599.9
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(40/32)",4,42435.1,1152.59,197.822,5.19906,14986.3,3308.54,599.6,200.831
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(40/32)",8,41704.4,2605.65,201.577,7.43808,32386.3,7257.82,273.198,65.287
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(48/32)",0,61627.4,878.43,136.145,1.86047,173.382,10.6246,48545,2691.63
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(48/32)",1,61756.2,1069.41,135.872,2.19362,2040,1350.87,21349.1,29106.6
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(48/32)",2,61317.7,880.611,136.833,1.90672,2956.93,1765.97,12102,23137.9
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(48/32)",4,60622.3,1077.15,138.417,2.39786,7046.33,2250.85,1346.36,553.716
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(48/32)",8,58389,1658.45,143.783,4.05887,14568,4524.49,636.505,214.36
"Xorec, AVX2",,500,500,0,0,0,1048576,32768,"(48/32)",16,55400.8,1547.07,151.531,4.11096,34404.9,8858.46,262.598,76.9582
"Xorec, AVX2",,500,500,0,0,0,1048576,16384,"(72/64)",0,38232.4,698.277,219.479,3.71406,340.81,21.3968,24707.4,1499.63
"Xorec, AVX2",,500,500,0,0,0,1048576,16384,"(72/64)",1,38596.7,786.828,217.422,4.0453,2712.42,1106.63,7111.64,10029
"Xorec, AVX2",,500,500,0,0,0,1048576,16384,"(72/64)",2,38282.6,920.101,219.242,4.94495,5994.66,1313.33,1501.31,467.882
